H	M
-1.13997862E-1	-2.91964648E+0
2.50049704E-3	-2.16749668E+0
8.50538071E-2	-1.11102704E+0
1.49561174E-1	3.02922633E-1
2.54727743E-1	1.98129006E+0
5.42253513E-1	3.60981340E+0
1.41219439E+0	4.75508617E+0
2.84063187E+0	5.24817363E+0
4.24064019E+0	5.42995029E+0
5.38257442E+0	5.51990183E+0
6.38533948E+0	5.57378865E+0
7.22518696E+0	5.60950053E+0
7.85605254E+0	5.63169610E+0
8.36685130E+0	5.64839124E+0
8.82212807E+0	5.66143436E+0
9.16294381E+0	5.67523058E+0
9.44376176E+0	5.68083805E+0
9.67499716E+0	5.68862816E+0
9.82902289E+0	5.69386447E+0
9.92632865E+0	5.69761947E+0
9.99868908E+0	5.69807116E+0
1.00363383E+1	5.69859290E+0
1.00487920E+1	5.70092727E+0
1.00509861E+1	5.70040198E+0
1.00063613E+1	5.70194097E+0
9.83618453E+0	5.69525101E+0
9.45267707E+0	5.68970299E+0
8.93187996E+0	5.67540668E+0
8.29206236E+0	5.65559744E+0
7.57606577E+0	5.63087819E+0
6.83237815E+0	5.60631010E+0
6.06216863E+0	5.57144642E+0
5.32939321E+0	5.53396975E+0
4.53165676E+0	5.48024315E+0
3.58263451E+0	5.38661975E+0
2.62943348E+0	5.24085686E+0
1.76625937E+0	4.99796148E+0
9.91292390E-1	4.56339527E+0
4.12901568E-1	3.75524185E+0
9.46335990E-2	2.66067717E+0
-2.97048739E-2	1.25284530E+0
-1.11674152E-1	-4.89879354E-1
-2.78841520E-1	-2.54276730E+0
-9.23155601E-1	-4.25960935E+0
-2.58484622E+0	-5.03875329E+0
-4.30352567E+0	-5.28712511E+0
-5.65818996E+0	-5.37902664E+0
-6.70946636E+0	-5.44180843E+0
-7.48555750E+0	-5.46776048E+0
-8.04975813E+0	-5.48831551E+0
-8.50819933E+0	-5.49326604E+0
-8.92366224E+0	-5.51590501E+0
-9.26912903E+0	-5.52828073E+0
-9.52483817E+0	-5.53768575E+0
-9.70421028E+0	-5.53371559E+0
-9.81908793E+0	-5.53631354E+0
-9.89940649E+0	-5.54497420E+0
-9.95522643E+0	-5.54687174E+0
-9.99002377E+0	-5.53102856E+0
-9.99914626E+0	-5.52397158E+0
-9.99833804E+0	-5.52235314E+0
-9.96087155E+0	-5.53270071E+0
-9.82884480E+0	-5.52131774E+0
-9.57512896E+0	-5.52185024E+0
-9.21171420E+0	-5.52425071E+0
-8.76512887E+0	-5.51644866E+0
-8.24298063E+0	-5.50319126E+0
-7.69702659E+0	-5.48739998E+0
-7.03375103E+0	-5.46382140E+0
-6.34097398E+0	-5.41543569E+0
-5.62501563E+0	-5.38736792E+0
-4.93537395E+0	-5.33718074E+0
-4.15821495E+0	-5.27145512E+0
-3.28925000E+0	-5.17163068E+0
-2.44523368E+0	-5.03417503E+0
-1.68560661E+0	-4.81412503E+0
-9.65158282E-1	-4.41608411E+0
-3.86343057E-1	-3.68218383E+0
-5.95544720E-2	-2.53519574E+0
9.02858403E-2	-8.94524472E-1
